一	<div class=tone1>yī</div>	one	1		[sound:一_google_zh-cn.mp3]	<img src="一_img_ancient.svg">
丨	<div class=tone3>gǔn</div>	line	2		[sound:丨_google_zh-cn.mp3]	<img src="丨_img_ancient.svg">
丶	<div class=tone3>zhǔ</div>	dot	3		[sound:丶_google_zh-cn.mp3]	<img src="丶_img_ancient.svg">
丿	<div class=tone3>piě</div>	slash	4	乀, 乁	[sound:丿_google_zh-cn.mp3]	<img src="丿_img_ancient.svg">
乙	<div class=tone3>yǐ</div>	second	5	乚, 乛	[sound:乙_google_zh-cn.mp3]	<img src="乙_img_ancient.svg">
亅	<div class=tone2>jué</div>	hook	6		[sound:亅_google_zh-cn.mp3]	<img src="亅_img_ancient.svg">
二	<div class=tone4>èr</div>	two	7		[sound:二_google_zh-cn.mp3]	<img src="二_img_ancient.svg">
亠	<div class=tone2>tóu</div>	lid	8		[sound:亠_google_zh-cn.mp3]	
人	<div class=tone2>rén</div>	man, human	9	亻	[sound:人_google_zh-cn.mp3]	<img src="人_img_ancient.svg">
儿	<div class=tone2>ér</div>	legs	10		[sound:儿_google_zh-cn.mp3]	<img src="儿_img_ancient.svg">
入	<div class=tone4>rù</div>	enter	11		[sound:入_google_zh-cn.mp3]	<img src="入_img_ancient.svg">
八	<div class=tone1>bā</div>	eight	12		[sound:八_google_zh-cn.mp3]	<img src="八_img_ancient.svg">
冂	<div class=tone1>jiōng</div>	open country	13		[sound:冂_google_zh-cn.mp3]	<img src="冂_img_ancient.svg">
冖	<div class=tone4>mì</div>	cover	14		[sound:冖_google_zh-cn.mp3]	<img src="冖_img_ancient.svg">
冫	<div class=tone1>bīng</div>	ice	15		[sound:冫_google_zh-cn.mp3]	<img src="冫_img_ancient.svg">
几	<div class=tone1>jī</div>	table	16		[sound:几_google_zh-cn.mp3]	<img src="几_img_ancient.svg">
凵	<div class=tone3>qū</div>	container, open mouth	17		[sound:凵_google_zh-cn.mp3]	
刀	<div class=tone1>dāo</div>	knife, sword	18	刁, 刂	[sound:刀_google_zh-cn.mp3]	<img src="刀_img_ancient.svg">
力	<div class=tone4>lì</div>	power, force	19		[sound:力_google_zh-cn.mp3]	<img src="力_img_ancient.svg">
勹	<div class=tone1>bāo</div>	wrap, embrace	20		[sound:勹_google_zh-cn.mp3]	
匕	<div class=tone3>bǐ</div>	spoon	21		[sound:匕_google_zh-cn.mp3]	<img src="匕_img_ancient.svg">
匚	<div class=tone1>fāng</div>	box	22		[sound:匚_google_zh-cn.mp3]	
匸	<div class=tone3>xǐ</div>	hiding enclosure	23		[sound:匸_google_zh-cn.mp3]	
十	<div class=tone2>shí</div>	ten, complete	24		[sound:十_google_zh-cn.mp3]	<img src="十_img_ancient.svg">
卜	<div class=tone3>bǔ</div>	divination	25		[sound:卜_google_zh-cn.mp3]	<img src="卜_img_ancient.svg">
卩	<div class=tone2>jié</div>	kneel	26		[sound:卩_google_zh-cn.mp3]	<img src="卩_img_ancient.svg">
厂	<div class=tone4>chǎng</div>	cliff	27		[sound:厂_google_zh-cn.mp3]	<img src="厂_img_ancient.svg">
厶	<div class=tone1>sī</div>	private	28		[sound:厶_google_zh-cn.mp3]	<img src="厶_img_ancient.svg">
又	<div class=tone4>yòu</div>	right hand	29		[sound:又_google_zh-cn.mp3]	<img src="又_img_ancient.svg">
口	<div class=tone3>kǒu</div>	mouth, opening	30		[sound:口_google_zh-cn.mp3]	<img src="口_img_ancient.svg">
囗	<div class=tone2>wéi</div>	enclosure	31		[sound:囗_google_zh-cn.mp3]	<img src="囗_img_ancient.svg">
土	<div class=tone3>tǔ</div>	earth	32		[sound:土_google_zh-cn.mp3]	<img src="土_img_ancient.svg">
士	<div class=tone4>shì</div>	scholar, bachelor	33		[sound:士_google_zh-cn.mp3]	<img src="士_img_ancient.svg">
夂	<div class=tone3>zhǐ</div>	go	34		[sound:夂_google_zh-cn.mp3]	<img src="夂_img_ancient.svg">
夊	<div class=tone1>sūi</div>	go slowly	35		[sound:夊_google_zh-cn.mp3]	<img src="夊_img_ancient.svg">
夕	<div class=tone1>xī</div>	evening, sunset	36		[sound:夕_google_zh-cn.mp3]	<img src="夕_img_ancient.svg">
大	<div class=tone4>dà</div>	big, very	37	夨	[sound:大_google_zh-cn.mp3]	<img src="大_img_ancient.svg">
女	<div class=tone3>nv̌</div>	woman, female	38		[sound:女_google_zh-cn.mp3]	<img src="女_img_ancient.svg">
子	<div class=tone3>zǐ</div>	child, seed	39	孑, 孒, 孓	[sound:子_google_zh-cn.mp3]	<img src="子_img_ancient.svg">
宀	<div class=tone2>mián</div>	roof	40		[sound:宀_google_zh-cn.mp3]	<img src="宀_img_ancient.svg">
寸	<div class=tone4>cùn</div>	thumb, inch	41		[sound:寸_google_zh-cn.mp3]	<img src="寸_img_ancient.svg">
小	<div class=tone3>xiǎo</div>	small, insignificant	42		[sound:小_google_zh-cn.mp3]	<img src="小_img_ancient.svg">
尢	<div class=tone1>wāng</div>	lame	43	尣	[sound:尢_google_zh-cn.mp3]	<img src="尢_img_ancient.svg">
尸	<div class=tone1>shī</div>	corpse	44		[sound:尸_google_zh-cn.mp3]	<img src="尸_img_ancient.svg">
屮	<div class=tone4>chè</div>	sprout	45		[sound:屮_google_zh-cn.mp3]	<img src="屮_img_ancient.svg">
山	<div class=tone1>shān</div>	mountain	46		[sound:山_google_zh-cn.mp3]	<img src="山_img_ancient.svg">
巛	<div class=tone1>chuān</div>	river	47	巜, 川	[sound:巛_google_zh-cn.mp3]	<img src="巛_img_ancient.svg">
工	<div class=tone1>gōng</div>	work	48		[sound:工_google_zh-cn.mp3]	<img src="工_img_ancient.svg">
己	<div class=tone2>jǐ</div>	oneself	49	已, 巳	[sound:己_google_zh-cn.mp3]	<img src="己_img_ancient.svg">
巾	<div class=tone1>jīn</div>	turban, scarf	50		[sound:巾_google_zh-cn.mp3]	<img src="巾_img_ancient.svg">
干	<div class=tone1>gān</div>	pestle	51		[sound:干_google_zh-cn.mp3]	<img src="干_img_ancient.svg">
乡	<div class=tone1>xiāng</div>	short, tiny	52	幺	[sound:乡_google_zh-cn.mp3]	<img src="乡_img_ancient.svg">
广	<div class=tone3>guǎng</div>	house on cliff	53		[sound:广_google_zh-cn.mp3]	<img src="广_img_ancient.svg">
廴	<div class=tone2>yǐn</div>	long stride	54		[sound:廴_google_zh-cn.mp3]	
廾	<div class=tone3>gǒng</div>	two hands, twenty	55		[sound:廾_google_zh-cn.mp3]	<img src="廾_img_ancient.svg">
弋	<div class=tone4>yì</div>	shoot, arrow	56		[sound:弋_google_zh-cn.mp3]	<img src="弋_img_ancient.svg">
弓	<div class=tone1>gōng</div>	bow	57		[sound:弓_google_zh-cn.mp3]	<img src="弓_img_ancient.svg">
彐	<div class=tone4>jì</div>	pig snout	58	彑	[sound:彐_google_zh-cn.mp3]	<img src="彐_img_ancient.svg">
彡	<div class=tone1>shān</div>	bristle, beard	59		[sound:彡_google_zh-cn.mp3]	<img src="彡_img_ancient.svg">
彳	<div class=tone4>chì</div>	step	60		[sound:彳_google_zh-cn.mp3]	<img src="彳_img_ancient.svg">
心	<div class=tone1>xīn</div>	heart	61	忄	[sound:心_google_zh-cn.mp3]	<img src="心_img_ancient.svg">
戈	<div class=tone1>gē</div>	spear, halberd	62		[sound:戈_google_zh-cn.mp3]	<img src="戈_img_ancient.svg">
戶	<div class=tone4>hù</div>	door, house	63	户, 戸	[sound:戶_google_zh-cn.mp3]	<img src="戶_img_ancient.svg">
手	<div class=tone3>shǒu</div>	hand	64	扌, 才	[sound:手_google_zh-cn.mp3]	<img src="手_img_ancient.svg">
支	<div class=tone1>zhī</div>	branch	65		[sound:支_google_zh-cn.mp3]	<img src="支_img_ancient.svg">
攴	<div class=tone1>pū</div>	rap	66	攵	[sound:攴_google_zh-cn.mp3]	<img src="攴_img_ancient.svg">
文	<div class=tone2>wén</div>	script, literature	67		[sound:文_google_zh-cn.mp3]	<img src="文_img_ancient.svg">
斗	<div class=tone3>dǒu</div>	dipper	68		[sound:斗_google_zh-cn.mp3]	<img src="斗_img_ancient.svg">
斤	<div class=tone1>jīn</div>	axe	69		[sound:斤_google_zh-cn.mp3]	<img src="斤_img_ancient.svg">
方	<div class=tone1>fāng</div>	square	70		[sound:方_google_zh-cn.mp3]	<img src="方_img_ancient.svg">
无	<div class=tone2>wú</div>	negative, no, not	71		[sound:无_google_zh-cn.mp3]	<img src="无_img_ancient.svg">
日	<div class=tone4>rì</div>	sun, day	72		[sound:日_google_zh-cn.mp3]	<img src="日_img_ancient.svg">
曰	<div class=tone1>yuē</div>	say	73		[sound:曰_google_zh-cn.mp3]	<img src="曰_img_ancient.svg">
月	<div class=tone4>yuè</div>	moon, month	74		[sound:月_google_zh-cn.mp3]	<img src="月_img_ancient.svg">
木	<div class=tone4>mù</div>	tree	75		[sound:木_google_zh-cn.mp3]	<img src="木_img_ancient.svg">
欠	<div class=tone4>qiàn</div>	owe, lack, yawn	76		[sound:欠_google_zh-cn.mp3]	<img src="欠_img_ancient.svg">
止	<div class=tone3>zhǐ</div>	stop	77		[sound:止_google_zh-cn.mp3]	<img src="止_img_ancient.svg">
歹	<div class=tone3>dǎi</div>	death, decay	78		[sound:歹_google_zh-cn.mp3]	<img src="歹_img_ancient.svg">
殳	<div class=tone1>shū</div>	weapon, lance	79		[sound:殳_google_zh-cn.mp3]	<img src="殳_img_ancient.svg">
毋	<div class=tone2>wú</div>	mother, do not	80	毌	[sound:毋_google_zh-cn.mp3]	<img src="毋_img_ancient.svg">
比	<div class=tone3>bǐ</div>	compare, compete	81		[sound:比_google_zh-cn.mp3]	<img src="比_img_ancient.svg">
毛	<div class=tone2>máo</div>	fur, hair	82		[sound:毛_google_zh-cn.mp3]	<img src="毛_img_ancient.svg">
氏	<div class=tone4>shì</div>	clan	83		[sound:氏_google_zh-cn.mp3]	<img src="氏_img_ancient.svg">
气	<div class=tone4>qì</div>	steam, breath	84		[sound:气_google_zh-cn.mp3]	<img src="气_img_ancient.svg">
水	<div class=tone3>shǔi</div>	water	85	氵	[sound:水_google_zh-cn.mp3]	<img src="水_img_ancient.svg">
火	<div class=tone3>huǒ</div>	fire	86	灬	[sound:火_google_zh-cn.mp3]	<img src="火_img_ancient.svg">
爪	<div class=tone3>zhuǎ</div>	claw, nail, talon	87	爫	[sound:爪_google_zh-cn.mp3]	
父	<div class=tone4>fù</div>	father	88		[sound:父_google_zh-cn.mp3]	<img src="父_img_ancient.svg">
爻	<div class=tone2>yáo</div>	mix, twine, cross	89		[sound:爻_google_zh-cn.mp3]	<img src="爻_img_ancient.svg">
丬	<div class=tone2>qiáng</div>	split wood	90	爿	[sound:丬_google_zh-cn.mp3]	
片	<div class=tone4>piàn</div>	slice	91		[sound:片_google_zh-cn.mp3]	
牙	<div class=tone2>yá</div>	fang	92		[sound:牙_google_zh-cn.mp3]	<img src="牙_img_ancient.svg">
牛	<div class=tone2>níu</div>	cow	93	牜	[sound:牛_google_zh-cn.mp3]	<img src="牛_img_ancient.svg">
犬	<div class=tone2>quǎn</div>	dog	94	犭	[sound:犬_google_zh-cn.mp3]	<img src="犬_img_ancient.svg">
玄	<div class=tone2>xuán</div>	dark, profound	95		[sound:玄_google_zh-cn.mp3]	<img src="玄_img_ancient.svg">
玉	<div class=tone4>yù</div>	jade (king)	96	玊, 王	[sound:玉_google_zh-cn.mp3]	<img src="玉_img_ancient.svg">
瓜	<div class=tone1>guā</div>	melon	97		[sound:瓜_google_zh-cn.mp3]	<img src="瓜_img_ancient.svg">
瓦	<div class=tone3>wǎ</div>	tile	98		[sound:瓦_google_zh-cn.mp3]	<img src="瓦_img_ancient.svg">
甘	<div class=tone1>gān</div>	sweet	99		[sound:甘_google_zh-cn.mp3]	<img src="甘_img_ancient.svg">
生	<div class=tone1>shēng</div>	life	100		[sound:生_google_zh-cn.mp3]	<img src="生_img_ancient.svg">
用	<div class=tone4>yòng</div>	use	101	甩	[sound:用_google_zh-cn.mp3]	<img src="用_img_ancient.svg">
曱	<div class=tone2>yuē</div>	field	102	田, 由, 甲, 申, 甴	[sound:曱_google_zh-cn.mp3]	
疋	<div class=tone3>pǐ</div>	bolt of cloth	103		[sound:疋_google_zh-cn.mp3]	<img src="疋_img_ancient.svg">
